Neuron,R2,RMSE,SSE,ARE,HYBRID,MPSD,MAE,SSE_norm,ARE_norm,HYBRID_norm,MPSD_norm,MAE_norm,RMSE_norm,TOTAL_SCORE
17,0.8264220892333762,4.361400077392386,304.3489701612531,13.336204443672973,112.99827401718488,24.660473883479074,3.633259868621826,0.09158136676551634,0.3398097618341222,0.15572874400681355,0.4808501322730275,0.23821042304813803,0.23969083561799528,1.5458712635456129
18,0.9585804444870172,2.1304993967885864,72.62444287546448,5.94886440446296,20.54756361923833,9.093220184884656,1.7973104906082145,0.013638877603406853,0.08463479701608459,0.01950175389148708,0.10655843191010997,0.057934643460815366,0.05815148582507948,0.3404199897069833
19,0.7298654231501684,5.440875482920396,473.65001633030806,16.098605129972157,190.6901992606364,33.1969614072148,4.262639141082763,0.1485271942561509,0.43522915422682673,0.2702085255749975,0.6860974091690395,0.3000105142476876,0.32753305331096755,2.16760585078567
20,0.9007623093304536,3.297744640932238,174.00191546875675,9.31117895554882,46.93934821381612,13.887712289627776,2.912628450393677,0.047738041172482044,0.20077653311143034,0.05839029637662119,0.22183493713099656,0.16745008930911356,0.15313596653865394,0.8493258636392976
21,0.9630388873896092,2.012571028168745,64.80707429478718,5.08609932357876,15.291740598640674,6.795130991717008,1.7550195026397706,0.011009440085451785,0.054832994473853126,0.011757249305281487,0.05130426002145962,0.05378200128188009,0.04855507503569778,0.23124102020362391
22,0.9589998804201983,2.1196846764978274,71.88901004447519,5.588026788754978,17.832748566807492,7.583205790811634,1.8179649305343624,0.013391508599658071,0.07217067252681098,0.015501448412810632,0.07025235852857943,0.059962746906485766,0.057271438897465804,0.2885501738718107
23,0.9277575215576372,2.8136820311047908,126.66890515459168,6.636486286538837,27.944639829288647,8.85801928924152,2.3486302065849314,0.03181718598017939,0.10838676844768372,0.03040141516408692,0.10090337258740496,0.11206990055984149,0.11374541356103206,0.4973240563002286
24,0.9363655264826392,2.640735636275964,111.57575521116512,6.38320408683127,26.4498419719949,8.941600952499408,2.14868052482605,0.026740478349498782,0.09963784447012643,0.02819881648146512,0.10291297064918643,0.09243641545998586,0.09967191565087118,0.44959844106113384
25,0.9101433456967049,3.138006368518757,157.55334350182846,9.196126173536692,49.67733773206052,15.396399073347824,2.680328345298768,0.04220542597079764,0.19680235709593155,0.06242474964834026,0.2581090900758171,0.14464004724275153,0.14013727844683876,0.8443189484804768
26,0.9463493104057396,2.4247465652780185,94.07033449324076,6.021929736590026,22.61919195255269,8.313544694011284,2.044564621448517,0.02085238320235782,0.08715863420998424,0.022554317698409584,0.08781228240548439,0.08221305316383656,0.08209582369292237,0.38268649437299496
27,0.947046576664815,2.4089385374073102,92.84775803209716,5.357332443654859,22.107192743531375,8.362200740980997,1.8107546281814573,0.020441159350965462,0.06420198270311386,0.02179988205496048,0.08898214543372528,0.05925475196212808,0.08080944679317623,0.3354893682980694
28,0.9608990580641276,2.0700093559432746,68.55901973908306,5.482763342625681,16.604014618426927,7.243602157939358,1.8191827726364127,0.012271438418361067,0.06853464169296551,0.013690897398979556,0.06208708906883745,0.06008232941621647,0.05322911398688869,0.26989550998224876
29,0.9177457970117896,3.0023253129013328,144.22331655180938,8.017287411049399,37.02608906655504,11.601239264925608,2.534057130813599,0.03772175955338336,0.15608267475462673,0.04378301591277523,0.16686005891423125,0.13027736516759095,0.1290962442895776,0.6638211185921852
